top - 05:15:01 up 157 days, 14:27,  1 user,  load average: 0.13, 0.12, 0.05
Tasks: 207 total,   1 running, 203 sleeping,   2 stopped,   1 zombie
%Cpu(s): 14.5 us, 21.7 sy,  0.0 ni, 54.7 id,  9.0 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem:   4046732 total,  3870672 used,   176060 free,    53796 buffers
KiB Swap:  4194300 total,   981292 used,  3213008 free.   979052 cached Mem

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
21197 root      20   0       0      0      0 S   0.0  0.0   0:00.07 kworker/0:2
21476 root      20   0       0      0      0 S   0.0  0.0   0:00.04 kworker/u4:0
22651 root      20   0       0      0      0 S   0.0  0.0   0:00.03 kworker/u4:1
23067 root      20   0    4448    780    696 S   0.0  0.0   0:00.00 gitlab-logrotat
23789 root      20   0    4348    672    596 S   0.0  0.0   0:00.00 sleep
24356 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/1:0
24435 postfix   20   0   27408   2852   2552 S   0.0  0.1   0:00.00 pickup
24532 root      20   0   18512   4000   2520 T   0.0  0.1   0:00.00 htop
24533 root      20   0   23100   3860   1564 T   0.0  0.1   0:00.00 bash
24534 root      20   0       0      0      0 Z   0.0  0.0   0:00.08 command-not-fou
24954 root      20   0  107852   6484   5404 S   0.0  0.2   0:00.02 sshd
24976 root      20   0       0      0      0 S   0.0  0.0   0:00.01 kworker/0:0
25036 root      20   0   12964   1944   1696 S   0.0  0.0   0:00.00 sftp-server
25591 root      20   0   62728   5300   4608 S   0.0  0.1   0:00.00 sshd
25592 sshd      20   0   62728   2800   2088 S   0.0  0.1   0:00.00 sshd
25593 git       20   0    4348    664    588 S   0.0  0.0   0:00.00 sleep
25594 root      20   0   25196   2884   2420 R   0.0  0.1   0:00.00 top
26010 root      20   0 1153920  85280   7172 S   0.0  2.1  15:21.06 node /ss_twotap
26278 mongodb   20   0 56.479g 772484 687316 S   0.0 19.1  11156:29 mongod
31948 root      20   0  983704  36856   5448 S   0.0  0.9  89:15.38 node /home/cron
